# netcoevolve=0.1.0 n=2000 rho=2000 eta=3 beta=3 sd0=0 sd1=1 sc0=1 sc1=0 p1=0.75 p00=0.5 p01=0.5 p11=0.5 sample_delta=0.01 t_max=2 seed=7368 (random) output_file=output/simulation-20260102-103644.csv
# coloured motif densities include symmetry multiplicities; sums across colour patterns recover uncoloured homomorphism densities for each motif family
# beta=3 (eta=beta, rho=n)
time,col0,col1,e00,e01,e11,ne00,ne01,ne11,3cyc000,3cyc001,3cyc011,3cyc111,2p000,2p001,2p010,2p011,2p101,2p111,3p0000,3p0001,3p0010,3p0011,3p0101,3p0110,3p0111,3p1001,3p1011,3p1111,3s0_000,3s0_001,3s0_011,3s0_111,3s1_000,3s1_001,3s1_011,3s1_111
0.000000000,0.263500000,0.736500000,0.034673837,0.194643322,0.271454227,0.034661331,0.193686343,0.270880940,0.002274983,0.019239943,0.053874866,0.050001374,0.004566639,0.025587074,0.012872575,0.071664702,0.035932642,0.100022894,0.000601735,0.003371576,0.003386056,0.009425485,0.009510242,0.004732301,0.026419558,0.004722758,0.026472949,0.036873909,0.000602853,0.005057304,0.014177611,0.013282200,0.001706815,0.014224809,0.039627097,0.036900466
0.000000000,0.263500000,0.736500000,0.034673837,0.194643322,0.271454227,0.034661331,0.193686343,0.270880940,0.002274983,0.019239943,0.053874866,0.050001374,0.004566639,0.025587074,0.012872575,0.071664702,0.035932642,0.100022894,0.000601735,0.003371576,0.003386056,0.009425485,0.009510242,0.004732301,0.026419558,0.004722758,0.026472949,0.036873909,0.000602853,0.005057304,0.014177611,0.013282200,0.001706815,0.014224809,0.039627097,0.036900466
0.010000000,0.248500000,0.751500000,0.042163082,0.092668834,0.496460230,0.019495748,0.281013507,0.068198599,0.005969759,0.006086384,0.048509638,0.305181411,0.007515972,0.012035854,0.003118143,0.058694196,0.018026686,0.333887919,0.001354749,0.001997360,0.000855199,0.007405488,0.002198283,0.001740845,0.039441826,0.001250481,0.023985386,0.224797390,0.001378606,0.002636177,0.005680871,0.009161233,0.000241510,0.005488530,0.057951373,0.226900534
0.020000002,0.221500000,0.778500000,0.035200100,0.072480740,0.551921461,0.013775888,0.272567284,0.054054527,0.004827509,0.003713996,0.039970781,0.371623607,0.005875125,0.008416474,0.001889307,0.049264214,0.014438777,0.396491576,0.000989455,0.001311313,0.000470704,0.005555236,0.001331436,0.001102904,0.035375605,0.000769089,0.020567688,0.285064931,0.001006125,0.001691136,0.003903691,0.007689682,0.000121580,0.003504257,0.052087463,0.286901166
0.030000001,0.251000000,0.749000000,0.043622811,0.094005003,0.477953977,0.019284142,0.282181091,0.082952976,0.006196129,0.006514102,0.042376601,0.279978196,0.007908597,0.013217832,0.003304651,0.056770977,0.016270012,0.312178294,0.001446049,0.002283716,0.000982106,0.007742922,0.002036820,0.001695937,0.037010332,0.001284008,0.020842040,0.204218638,0.001470497,0.003081065,0.005599294,0.007531625,0.000277326,0.005400517,0.054166896,0.206439222
0.040000000,0.255500000,0.744500000,0.046338669,0.085863932,0.484847924,0.018846423,0.294765883,0.069337169,0.007237045,0.005799653,0.041246774,0.296677280,0.008846174,0.011769826,0.002892685,0.052400544,0.015363272,0.322886362,0.001704764,0.002115004,0.000867476,0.006871757,0.001752304,0.001427759,0.034817325,0.001040543,0.020119927,0.215343367,0.001736263,0.002769997,0.004926266,0.007405538,0.000248211,0.004640309,0.050780002,0.217461988
0.050000000,0.318000000,0.682000000,0.070202101,0.108058029,0.394102551,0.030813407,0.325910955,0.070912956,0.012751533,0.009508668,0.043626467,0.208213767,0.016184345,0.019270247,0.004809647,0.058994722,0.016832934,0.233196735,0.003763575,0.004233988,0.001816973,0.010191598,0.002658852,0.002222143,0.034835516,0.001688231,0.019522025,0.138210700,0.003826979,0.005723222,0.007280647,0.007062444,0.000511563,0.007096131,0.050904404,0.139775808
0.060000000,0.320500000,0.679500000,0.077280140,0.086302151,0.401898949,0.025331166,0.349475238,0.059712356,0.016353778,0.006913542,0.032527752,0.220114490,0.019461124,0.016127090,0.003367576,0.047542583,0.012336114,0.242357570,0.004931649,0.003901439,0.001383260,0.008540276,0.001578414,0.001420097,0.028607617,0.001072876,0.014577350,0.146332033,0.005011728,0.005178490,0.005175265,0.005095215,0.000356971,0.004798785,0.041447483,0.147741103
0.070000001,0.374500000,0.625500000,0.099509755,0.115593797,0.317655828,0.040623312,0.353140070,0.073477239,0.022408021,0.012702307,0.037571708,0.143398790,0.027731985,0.024998226,0.006315895,0.054420950,0.015133057,0.165816853,0.007793770,0.006697966,0.002953205,0.011291929,0.002825732,0.002366834,0.028267762,0.001872875,0.015318037,0.086771317,0.007931871,0.009146951,0.007636260,0.005522654,0.000863129,0.007819320,0.040848752,0.087939980
0.080000004,0.412000000,0.588000000,0.124209605,0.116563282,0.274862431,0.045413207,0.368191096,0.070760380,0.031306546,0.014971240,0.030163472,0.112935288,0.038856120,0.030104229,0.007129875,0.049784439,0.012631001,0.132434428,0.012223896,0.009198393,0.003947888,0.012402657,0.002627965,0.002302931,0.023830112,0.002025406,0.011609373,0.063992717,0.012417036,0.012782552,0.007910635,0.003809927,0.001128005,0.007847359,0.034132363,0.064956473
